Bike Station Name,Bike Station Latitude,Bike Station Longitude,Available Bikes,POI Name,POI Rating,POI Latitude,POI Longitude,Distance (km)
Dundas St W / Yonge St,43.656094,-79.381484,30,The Rabbit Hole,4.1,43.64995,-79.37976,0.6971201873185215
Dundas St W / Yonge St,43.656094,-79.381484,30,Edna + Vita,4.3,43.64940455,-79.38289144,0.7524033514537977
Dundas St W / Yonge St,43.656094,-79.381484,30,LOCAL Public Eatery Adelaide,4.1,43.648968713601,-79.384350052184,0.8251689696006338
Dundas St W / Yonge St,43.656094,-79.381484,30,Joey- King Street,5.0,43.64916277832499,-79.37895502342164,0.7971224832060084
Dundas St W / Yonge St,43.656094,-79.381484,30,King Taps,3.9,43.6486379269,-79.3817439,0.8293422891607848
Dundas St W / Yonge St,43.656094,-79.381484,30,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.92856532458783
Dundas St W / Yonge St,43.656094,-79.381484,30,Verno Art Studios,5.0,43.649972079121355,-79.38322387258135,0.694970432531083
Dundas St W / Yonge St,43.656094,-79.381484,30,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.9234794466544307
Dundas St W / Yonge St,43.656094,-79.381484,30,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.85310590749066
Dundas St W / Yonge St,43.656094,-79.381484,30,Collision Gallery,0.0,43.64782658166067,-79.37868394661265,0.9464964931354904
Dundas St W / Yonge St,43.656094,-79.381484,30,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.8870595077997675
Dundas St W / Yonge St,43.656094,-79.381484,30,Toronto Sculpture Garden,3.6,43.64986750091855,-79.37366770337918,0.9353108232352253
Dundas St W / Yonge St,43.656094,-79.381484,30,Little Canada,4.8,43.65668,-79.38065,0.0935281601240211
Dundas St W / Yonge St,43.656094,-79.381484,30,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.92856532458783
Dundas St W / Yonge St,43.656094,-79.381484,30,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.9234794466544307
Dundas St W / Yonge St,43.656094,-79.381484,30,Verno Art Studios,5.0,43.649972079121355,-79.38322387258135,0.694970432531083
Dundas St W / Yonge St,43.656094,-79.381484,30,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.8870595077997675
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.6756129853932794
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4,Bottē Gallery,0.0,43.65413,-79.36117,0.8523491202755086
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.6756129853932794
Seaton St / Dundas St E - SMART,43.658777,-79.369596,4,Little Canada,4.8,43.65668,-79.38065,0.9193244035874535
Wellington St W / Bay St,43.647259,-79.379878,52,The Butcher Chef,4.6,43.6430184,-79.3757759,0.5755788832253583
Wellington St W / Bay St,43.647259,-79.379878,52,Don Alfonso 1890,4.1,43.640966,-79.375601,0.7798013847124257
Wellington St W / Bay St,43.647259,-79.379878,52,Miku,4.2,43.6412346,-79.3773697,0.6996282543640149
Wellington St W / Bay St,43.647259,-79.379878,52,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.8704348439409583
Wellington St W / Bay St,43.647259,-79.379878,52,Impact Kitchen,4.4,43.64085,-79.37871,0.7188197879698828
Wellington St W / Bay St,43.647259,-79.379878,52,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7143606478465621
Wellington St W / Bay St,43.647259,-79.379878,52,Mama Lee's Korean Kitchen,4.3,43.64325,-79.37636,0.5280627229873628
Wellington St W / Bay St,43.647259,-79.379878,52,The Rabbit Hole,4.1,43.64995,-79.37976,0.2993765444998578
Wellington St W / Bay St,43.647259,-79.379878,52,Kinka Izakaya Bar Izakaya- Harbourfront,4.0,43.64177851099536,-79.3793856918259,0.6106895669173921
Wellington St W / Bay St,43.647259,-79.379878,52,Evviva Breakfast & Lunch,3.8,43.641602,-79.383301,0.6866890206904073
Wellington St W / Bay St,43.647259,-79.379878,52,Chotto Matte,3.9,43.6462867067857,-79.3788714800065,0.13508320043246685
Wellington St W / Bay St,43.647259,-79.379878,52,Aloette Bay,4.3,43.644036,-79.37753,0.4051310112895659
Wellington St W / Bay St,43.647259,-79.379878,52,Friday Burger,4.3,43.64398464206703,-79.377539,0.4098584258488371
Wellington St W / Bay St,43.647259,-79.379878,52,Cafe Landwer- Front,4.4,43.64762587463226,-79.3764915055223,0.275517025652988
Wellington St W / Bay St,43.647259,-79.379878,52,Alexandros,3.6,43.64147,-79.37522,0.7448756509439267
Wellington St W / Bay St,43.647259,-79.379878,52,My Roti Place,3.8,43.6417148967486,-79.3757710173493,0.699465974643954
Wellington St W / Bay St,43.647259,-79.379878,52,Library Bar,4.1,43.64583140000001,-79.3819623,0.2309213986859452
Wellington St W / Bay St,43.647259,-79.379878,52,Amano Trattoria,4.2,43.64783286048877,-79.37335950322061,0.5283501757639277
Wellington St W / Bay St,43.647259,-79.379878,52,Edna + Vita,4.3,43.64940455,-79.38289144,0.34015412603869
Wellington St W / Bay St,43.647259,-79.379878,52,Kibo Market,4.8,43.645241899630015,-79.38131876350222,0.2524794694204075
Wellington St W / Bay St,43.647259,-79.379878,52,The Power Plant Contemporary Art Gallery,4.3,43.63846783255385,-79.3818515921703,0.9903505037764274
Wellington St W / Bay St,43.647259,-79.379878,52,Immersive Van Gogh Exhibit,3.1,43.642937210334935,-79.3741862,0.6638446140199808
Wellington St W / Bay St,43.647259,-79.379878,52,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.9030623493805866
Wellington St W / Bay St,43.647259,-79.379878,52,Verno Art Studios,5.0,43.649972079121355,-79.38322387258135,0.40433098919844995
Wellington St W / Bay St,43.647259,-79.379878,52,The Art of Banksy,4.0,43.6425099,-79.3745239,0.6815168748296829
